iteration,dataset,model,rotation,metric,value
3,CIC-IDS-2017,rf,rot,accuracy,0.9345456545434546
4,CIC-IDS-2017,rf,rot,accuracy,0.9367656323436766
5,CIC-IDS-2017,rf,rot,accuracy,0.9420355796442036
6,CIC-IDS-2017,rf,rot,accuracy,0.936920630793692
7,CIC-IDS-2017,rf,rot,accuracy,0.940090599094009
8,CIC-IDS-2017,rf,rot,accuracy,0.9417455825441744
9,CIC-IDS-2017,rf,rot,accuracy,0.948160518394816
10,CIC-IDS-2017,rf,rot,accuracy,0.9404355956440436
11,CIC-IDS-2017,rf,rot,accuracy,0.937590624093759
12,CIC-IDS-2017,rf,rot,accuracy,0.9349356506434936
13,CIC-IDS-2017,rf,rot,accuracy,0.9526054739452604
14,CIC-IDS-2017,rf,rot,accuracy,0.9423355766442336
15,CIC-IDS-2017,rf,rot,accuracy,0.94050059499405
16,CIC-IDS-2017,rf,rot,accuracy,0.9411155888441116
17,CIC-IDS-2017,rf,rot,accuracy,0.9520004799952
18,CIC-IDS-2017,rf,rot,accuracy,0.9380556194438056
19,CIC-IDS-2017,rf,rot,accuracy,0.9410955890441096
20,CIC-IDS-2017,rf,rot,accuracy,0.940950590494095
1,CIC-IDS-2017,rf,no_rot,accuracy,0.987770122298777
2,CIC-IDS-2017,rf,no_rot,accuracy,0.9884651153488464
3,CIC-IDS-2017,rf,no_rot,accuracy,0.9878251217487826
4,CIC-IDS-2017,rf,no_rot,accuracy,0.987980120198798
5,CIC-IDS-2017,rf,no_rot,accuracy,0.9878051219487806
6,CIC-IDS-2017,rf,no_rot,accuracy,0.987990120098799
7,CIC-IDS-2017,rf,no_rot,accuracy,0.9878351216487836
8,CIC-IDS-2017,rf,no_rot,accuracy,0.9878651213487863
9,CIC-IDS-2017,rf,no_rot,accuracy,0.9880151198488016
10,CIC-IDS-2017,rf,no_rot,accuracy,0.987570124298757
11,CIC-IDS-2017,rf,no_rot,accuracy,0.987730122698773
12,CIC-IDS-2017,rf,no_rot,accuracy,0.9878651213487863
13,CIC-IDS-2017,rf,no_rot,accuracy,0.987790122098779
14,CIC-IDS-2017,rf,no_rot,accuracy,0.9877951220487796
15,CIC-IDS-2017,rf,no_rot,accuracy,0.9877951220487796
16,CIC-IDS-2017,rf,no_rot,accuracy,0.988010119898801
17,CIC-IDS-2017,rf,no_rot,accuracy,0.988010119898801
18,CIC-IDS-2017,rf,no_rot,accuracy,0.987960120398796
19,CIC-IDS-2017,rf,no_rot,accuracy,0.9879351206487936
20,CIC-IDS-2017,rf,no_rot,accuracy,0.9889551104488956
1,CIC-IDS-2017,dt,rot,accuracy,0.930270697293027
2,CIC-IDS-2017,dt,rot,accuracy,0.9312056879431204
3,CIC-IDS-2017,dt,rot,accuracy,0.9521704782952172
4,CIC-IDS-2017,dt,rot,accuracy,0.9266557334426656
5,CIC-IDS-2017,dt,rot,accuracy,0.940640593594064
6,CIC-IDS-2017,dt,rot,accuracy,0.9472055279447206
7,CIC-IDS-2017,dt,rot,accuracy,0.9385656143438564
8,CIC-IDS-2017,dt,rot,accuracy,0.9315356846431536
9,CIC-IDS-2017,dt,rot,accuracy,0.9491855081449184
10,CIC-IDS-2017,dt,rot,accuracy,0.9467055329446704
11,CIC-IDS-2017,dt,rot,accuracy,0.9380906190938092
12,CIC-IDS-2017,dt,rot,accuracy,0.9529354706452936
13,CIC-IDS-2017,dt,rot,accuracy,0.9368456315436846
14,CIC-IDS-2017,dt,rot,accuracy,0.9569054309456906
15,CIC-IDS-2017,dt,rot,accuracy,0.9413955860441396
16,CIC-IDS-2017,dt,rot,accuracy,0.962760372396276
17,CIC-IDS-2017,dt,rot,accuracy,0.953540464595354
18,CIC-IDS-2017,dt,rot,accuracy,0.9352256477435226
19,CIC-IDS-2017,dt,rot,accuracy,0.946820531794682
20,CIC-IDS-2017,dt,rot,accuracy,0.9340056599434006
1,CIC-IDS-2017,dt,no_rot,accuracy,0.989430105698943
2,CIC-IDS-2017,dt,no_rot,accuracy,0.989430105698943
